#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
4.080e+04,113900.000000,108000.000000,0.000000,0.000391,0.004859,0.001563,0.000000,0.000000,0.000000,0.000000,1.026920,0.008310
4.110e+04,113900.000000,108000.000000,0.000000,0.000391,0.004871,0.001563,0.000000,0.000000,0.000000,0.000000,1.024960,0.008310
4.140e+04,113900.000000,108000.000000,0.000000,0.000391,0.004882,0.001563,0.000000,0.000000,0.000000,0.000000,1.022910,0.008310
4.170e+04,113900.000000,108000.000000,0.000000,0.000391,0.004894,0.001563,0.000000,0.000000,0.000000,0.000000,1.020840,0.008320
4.200e+04,113900.000000,108000.000000,0.000000,0.000391,0.004905,0.001563,0.000000,0.000000,0.000000,0.000000,1.019450,0.008320
4.230e+04,113900.000000,108000.000000,0.000000,0.000391,0.004916,0.001563,0.000000,0.000000,0.000000,0.000000,1.018020,0.008320
4.260e+04,113900.000000,108000.000000,0.000000,0.000391,0.004927,0.001563,0.000000,0.000000,0.000000,0.000000,1.016290,0.008320
4.290e+04,113900.000000,108000.000000,0.000000,0.000391,0.004938,0.001563,0.000000,0.000000,0.000000,0.000000,1.014370,0.008320
4.320e+04,113900.000000,108000.000000,0.000000,0.000391,0.004949,0.001563,0.000000,0.000000,0.000000,0.000000,1.012570,0.008320
4.350e+04,113900.000000,108000.000000,0.000000,0.000391,0.004959,0.001563,0.000000,0.000000,0.000000,0.000000,1.010770,0.008320
4.380e+04,113900.000000,108000.000000,0.000000,0.000391,0.004969,0.001563,0.000000,0.000000,0.000000,0.000000,1.008900,0.008320
4.410e+04,113900.000000,108000.000000,0.000000,0.000391,0.004979,0.001563,0.000000,0.000000,0.000000,0.000000,1.006990,0.008320
4.440e+04,113900.000000,108000.000000,0.000000,0.000391,0.004988,0.001563,0.000000,0.000000,0.000000,0.000000,1.005080,0.008320
4.470e+04,113900.000000,108000.000000,0.000000,0.000391,0.004997,0.001563,0.000000,0.000000,0.000000,0.000000,1.003180,0.008320
4.500e+04,113900.000000,108000.000000,0.000000,0.000391,0.005005,0.001563,0.000000,0.000000,0.000000,0.000000,1.001820,0.008320
4.530e+04,113900.000000,108000.000000,0.000000,0.000391,0.005013,0.001563,0.000000,0.000000,0.000000,0.000000,0.999840,0.008320
4.560e+04,113900.000000,108000.000000,0.000000,0.000391,0.005021,0.001563,0.000000,0.000000,0.000000,0.000000,0.997850,0.008320
4.590e+04,113900.000000,108000.000000,0.000000,0.000391,0.005028,0.001563,0.000000,0.000000,0.000000,0.000000,0.995830,0.008320
4.620e+04,113900.000000,108000.000000,0.000000,0.000391,0.005035,0.001563,0.000000,0.000000,0.000000,0.000000,0.993820,0.008320
4.650e+04,113900.000000,108000.000000,0.000000,0.000391,0.005041,0.001563,0.000000,0.000000,0.000000,0.000000,0.992640,0.008320
4.680e+04,113900.000000,108000.000000,0.000000,0.000391,0.005048,0.001563,0.000000,0.000000,0.000000,0.000000,0.991150,0.008320
4.710e+04,113900.000000,108000.000000,0.000000,0.000391,0.005054,0.001563,0.000000,0.000000,0.000000,0.000000,0.989140,0.008320
4.740e+04,113900.000000,108000.000000,0.000000,0.000391,0.005060,0.001563,0.000000,0.000000,0.000000,0.000000,0.987380,0.008320
4.770e+04,113900.000000,108000.000000,0.000000,0.000391,0.005065,0.001563,0.000000,0.000000,0.000000,0.000000,0.985520,0.008330
4.800e+04,113900.000000,108000.000000,0.000000,0.000391,0.005071,0.001563,0.000000,0.000000,0.000000,0.000000,0.984150,0.008330
4.830e+04,113900.000000,108000.000000,0.000000,0.000391,0.005076,0.001563,0.000000,0.000000,0.000000,0.000000,0.982360,0.008330
4.860e+04,113900.000000,108000.000000,0.000000,0.000391,0.005081,0.001563,0.000000,0.000000,0.000000,0.000000,0.980690,0.008330
4.890e+04,113900.000000,108000.000000,0.000000,0.000391,0.005086,0.001563,0.000000,0.000000,0.000000,0.000000,0.979230,0.008330
4.920e+04,113900.000000,108000.000000,0.000000,0.000391,0.005090,0.001563,0.000000,0.000000,0.000000,0.000000,0.977670,0.008330
4.950e+04,113900.000000,108000.000000,0.000000,0.000391,0.005095,0.001563,0.000000,0.000000,0.000000,0.000000,0.976020,0.008330
4.980e+04,113900.000000,108000.000000,0.000000,0.000391,0.005099,0.001563,0.000000,0.000000,0.000000,0.000000,0.974670,0.008330
5.010e+04,113900.000000,108000.000000,0.000000,0.000391,0.005103,0.001563,0.000000,0.000000,0.000000,0.000000,0.973430,0.008330
5.040e+04,113900.000000,108000.000000,0.000000,0.000391,0.005108,0.001563,0.000000,0.000000,0.000000,0.000000,0.971990,0.008330
5.070e+04,113900.000000,108000.000000,0.000000,0.000391,0.005112,0.001563,0.000000,0.000000,0.000000,0.000000,0.970480,0.008330
5.100e+04,113900.000000,108000.000000,0.000000,0.000391,0.005116,0.001563,0.000000,0.000000,0.000000,0.000000,0.968940,0.008330
5.130e+04,113900.000000,108000.000000,0.000000,0.000391,0.005120,0.001563,0.000000,0.000000,0.000000,0.000000,0.967540,0.008330
5.160e+04,113900.000000,108000.000000,0.000000,0.000391,0.005124,0.001563,0.000000,0.000000,0.000000,0.000000,0.966320,0.008330
5.190e+04,113900.000000,108000.000000,0.000000,0.000391,0.005127,0.001563,0.000000,0.000000,0.000000,0.000000,0.965310,0.008330
5.220e+04,113900.000000,108000.000000,0.000000,0.000391,0.005131,0.001563,0.000000,0.000000,0.000000,0.000000,0.964480,0.008340
5.250e+04,113900.000000,108000.000000,0.000000,0.000391,0.005135,0.001563,0.000000,0.000000,0.000000,0.000000,0.963800,0.008340
5.280e+04,113900.000000,108000.000000,0.000000,0.000391,0.005139,0.001563,0.000000,0.000000,0.000000,0.000000,0.963460,0.008340
5.310e+04,113900.000000,108000.000000,0.000000,0.000391,0.005143,0.001563,0.000000,0.000000,0.000000,0.000000,0.962730,0.008340
5.340e+04,113900.000000,108000.000000,0.000000,0.000391,0.005147,0.001563,0.000000,0.000000,0.000000,0.000000,0.962130,0.008340
5.370e+04,113900.000000,108000.000000,0.000000,0.000391,0.005151,0.001563,0.000000,0.000000,0.000000,0.000000,0.965010,0.008340
